        infile    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_15b1_100L5000g500B625_2500    m100M4l0.1_45b1_100L5000g500B625_2500    m100M4l0.1_25b1_100L5000g500B625_2500    m100M4l0.1_55b1_100L5000g500B625_2500    m100M4l0.1_85b1_100L5000g500B625_2500    m100M4l0.1_35b1_100L5000g500B625_2500    m100M4l0.1_95b1_100L5000g500B625_2500    m100M4l0.1_65b1_100L5000g500B625_2500    m100M4l0.1_75b1_10L5000g500B62_250    m100M4l0.1_75b1_5L5000g500B31_125    m100M4l0.1_75b1_50L5000g500B312_1250    m100M4l0.1_75b1_25L5000g500B156_625    m150M4l0.1_75b1_100L5000g500B625_2500    m200M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L5000g100B625_2500    m200M4l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g50B625_2500    m100M4l0.1_75b1_100L5000g10B625_2500    m100M4l0.1_75b1_100L7500g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L500g500B625_2500    m100M4l0.1_75b1_100L2500g500B625_2500    m100M8l0.1_75b1_100L5000g500B312_1250    m100M16l0.1_75b1_100L5000g500B156_625    m100M2l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500
       37.4434 &                                   0.35 &                                   0.05 &                                    0.1 &                                   0.05 &                                    0.5 &                                   0.85 &                                      0 &                                  0.312 &                                    0.8 &                                   1 &                               0.95 &                                  0.25 &                                  0.6 &                                   1.74 &                                   2.21 &                               0.8 &                                    3.6 &                                     1.5 &                                   9.6 &                                  50.3 &                                   0.35 &                              1.45 &                                 0.647 &                                  0.632 &                                    0.3 &                                    0.2 &                                    0.85 &                                   0.35 &                                    0.4 &                                    0.4
        56.665 &                                    0.3 &                                   0.05 &                                    0.1 &                                   0.05 &                                   0.25 &                                   0.85 &                                      0 &                                  0.312 &                                   0.65 &                                0.65 &                                0.9 &                                  0.25 &                                 0.55 &                                   1.53 &                                   1.63 &                               0.8 &                                    3.1 &                                     1.2 &                                  8.65 &                                  33.6 &                                    0.2 &                              1.45 &                                 0.412 &                                  0.526 &                                    0.3 &                                    0.2 &                                    0.65 &                                   0.25 &                                   0.25 &                                   0.35
       85.4976 &                                    0.2 &                                   0.05 &                                   0.05 &                                   0.05 &                                   0.15 &                                    0.8 &                                      0 &                                  0.188 &                                   0.55 &                                0.45 &                                0.8 &                                  0.15 &                                 0.35 &                                   1.53 &                                   1.32 &                               0.7 &                                   2.95 &                                    0.85 &                                  7.05 &                                  29.2 &                                   0.15 &                              1.25 &                                 0.353 &                                  0.474 &                                   0.25 &                                    0.2 &                                     0.6 &                                   0.15 &                                   0.15 &                                   0.25
       128.746 &                                   0.15 &                                   0.05 &                                   0.05 &                                   0.05 &                                   0.05 &                                    0.8 &                                      0 &                                  0.188 &                                   0.35 &                                0.35 &                                0.6 &                                  0.15 &                                 0.25 &                                   1.21 &                                   1.11 &                              0.65 &                                   2.35 &                                     0.7 &                                  6.05 &                                  23.2 &                                   0.05 &                                 1 &                                 0.353 &                                  0.474 &                                    0.2 &                                    0.2 &                                    0.55 &                                   0.15 &                                   0.15 &                                   0.15
        193.62 &                                   0.15 &                                   0.05 &                                   0.05 &                                      0 &                                   0.05 &                                    0.8 &                                      0 &                                  0.188 &                                    0.3 &                                0.35 &                                0.5 &                                  0.15 &                                 0.25 &                                  0.895 &                                      1 &                               0.5 &                                   1.95 &                                    0.65 &                                   5.8 &                                  20.5 &                                   0.05 &                               0.8 &                                 0.235 &                                  0.474 &                                   0.05 &                                    0.1 &                                     0.4 &                                   0.15 &                                   0.15 &                                   0.15
       290.929 &                                   0.15 &                                      0 &                                   0.05 &                                      0 &                                   0.05 &                                    0.8 &                                      0 &                                  0.188 &                                   0.25 &                                 0.3 &                                0.3 &                                  0.15 &                                 0.25 &                                  0.842 &                                  0.842 &                              0.45 &                                    1.8 &                                     0.6 &                                  4.95 &                                  16.8 &                                   0.05 &                               0.6 &                                 0.235 &                                  0.421 &                                      0 &                                    0.1 &                                     0.3 &                                   0.15 &                                   0.15 &                                   0.15
       436.894 &                                   0.15 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                    0.1 &                                      0 &                                  0.188 &                                   0.25 &                                 0.2 &                               0.25 &                                  0.15 &                                 0.25 &                                  0.737 &                                  0.684 &                              0.35 &                                    1.5 &                                     0.5 &                                  2.95 &                                  16.2 &                                   0.05 &                              0.55 &                                 0.235 &                                  0.421 &                                      0 &                                    0.1 &                                    0.25 &                                   0.15 &                                   0.15 &                                   0.15
       655.841 &                                   0.15 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                    0.1 &                                      0 &                                  0.188 &                                    0.1 &                                0.15 &                                0.2 &                                  0.15 &                                 0.25 &                                  0.579 &                                  0.684 &                              0.35 &                                   1.15 &                                    0.45 &                                  2.65 &                                  13.1 &                                      0 &                               0.5 &                                 0.235 &                                  0.421 &                                      0 &                                    0.1 &                                    0.25 &                                   0.15 &                                   0.15 &                                   0.15
       984.261 &                                   0.15 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                    0.1 &                                      0 &                                  0.188 &                                    0.1 &                                0.15 &                                0.2 &                                  0.15 &                                  0.2 &                                  0.579 &                                  0.632 &                              0.25 &                                   0.95 &                                    0.45 &                                  2.35 &                                  12.1 &                                      0 &                               0.5 &                                 0.176 &                                  0.421 &                                      0 &                                    0.1 &                                     0.2 &                                   0.15 &                                   0.15 &                                   0.15
       1476.89 &                                   0.15 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                      0 &                                  0.188 &                                    0.1 &                                0.15 &                                0.2 &                                   0.1 &                                 0.15 &                                  0.526 &                                  0.526 &                               0.2 &                                    0.8 &                                    0.45 &                                  2.15 &                                  10.6 &                                      0 &                               0.5 &                                 0.176 &                                  0.316 &                                      0 &                                    0.1 &                                    0.15 &                                   0.15 &                                   0.15 &                                   0.15
       2215.84 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                               0.3 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       3324.26 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                              0.25 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       4986.89 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       7480.83 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       11221.7 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       16833.1 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       25250.2 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       37875.8 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       56814.1 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       85221.7 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        127833 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        191750 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        287626 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
     ng1/nadm: &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                  -1 &                                 -1 &                                    -1 &                                   -1 &                                     -1 &                                     -1 &                                -1 &                                     -1 &                                      -1 &                                    -1 &                                    -1 &                                     -1 &                                -1 &                                    -1 &                                     -1 &                                     -1 &                                     -1 &                                      -1 &                                     -1 &                                     -1 &                                     -1
             0 &                                  0.119 &                                 0.0135 &                                 0.0147 &                                0.00475 &                                 0.0623 &                                  0.186 &                                0.00254 &                                  0.105 &                                  0.171 &                               0.107 &                              0.162 &                                0.0931 &                                0.125 &                                   0.22 &                                  0.224 &                             0.114 &                                  0.159 &                                   0.187 &                                  0.22 &                                  0.19 &                                   0.24 &                             0.114 &                                   Inf &                                  0.178 &                                 0.0769 &                                 0.0657 &                                   0.319 &                                  0.104 &                                 0.0912 &                                  0.122
           0.5 &                                  0.119 &                                 0.0135 &                                 0.0147 &                                0.00475 &                                 0.0623 &                                  0.186 &                                0.00254 &                                  0.105 &                                  0.171 &                               0.107 &                              0.162 &                                0.0931 &                                0.125 &                                   0.22 &                                  0.224 &                             0.114 &                                  0.159 &                                   0.187 &                                  0.22 &                                  0.19 &                                   0.24 &                             0.114 &                                   Inf &                                  0.178 &                                 0.0769 &                                 0.0657 &                                   0.319 &                                  0.104 &                                 0.0912 &                                  0.122
          1.25 &                                  0.119 &                                 0.0135 &                                 0.0147 &                                0.00475 &                                 0.0623 &                                  0.186 &                                0.00254 &                                 0.0735 &                                  0.171 &                               0.107 &                              0.162 &                                0.0931 &                                0.125 &                                   0.22 &                                  0.224 &                             0.114 &                                  0.159 &                                   0.187 &                                  0.22 &                                  0.19 &                                   0.24 &                             0.114 &                                   Inf &                                  0.178 &                                 0.0769 &                                 0.0657 &                                   0.319 &                                  0.104 &                                 0.0912 &                                  0.122
         2.375 &                                  0.105 &                                 0.0135 &                                 0.0147 &                                0.00475 &                                 0.0623 &                                  0.148 &                                0.00254 &                                 0.0642 &                                  0.171 &                               0.107 &                              0.162 &                                 0.083 &                                0.125 &                                   0.22 &                                  0.224 &                             0.114 &                                  0.153 &                                   0.187 &                                 0.196 &                                 0.174 &                                  0.228 &                             0.114 &                                 0.131 &                                  0.167 &                                 0.0743 &                                 0.0456 &                                   0.301 &                                    0.1 &                                 0.0912 &                                  0.105
        4.0625 &                                 0.0919 &                                 0.0135 &                                 0.0147 &                                0.00475 &                                 0.0623 &                                  0.111 &                                0.00254 &                                 0.0297 &                                  0.171 &                              0.0975 &                              0.158 &                                 0.083 &                                 0.11 &                                   0.22 &                                  0.224 &                             0.114 &                                  0.141 &                                   0.187 &                                  0.18 &                                 0.135 &                                  0.161 &                             0.114 &                                 0.124 &                                  0.111 &                                 0.0693 &                                 0.0387 &                                   0.276 &                                 0.0844 &                                 0.0737 &                                 0.0839
       6.59375 &                                 0.0814 &                                 0.0135 &                                 0.0147 &                                0.00475 &                                 0.0623 &                                 0.0861 &                                0.00254 &                                 0.0266 &                                  0.157 &                                0.09 &                              0.153 &                                0.0829 &                               0.0814 &                                  0.159 &                                  0.224 &                             0.103 &                                  0.127 &                                   0.187 &                                 0.153 &                                0.0947 &                                  0.154 &                             0.113 &                                 0.114 &                                  0.101 &                                 0.0596 &                                 0.0387 &                                   0.248 &                                 0.0714 &                                 0.0707 &                                 0.0814
       10.3906 &                                 0.0587 &                                 0.0101 &                                 0.0147 &                                0.00475 &                                 0.0598 &                                 0.0797 &                                0.00254 &                                 0.0234 &                                  0.122 &                               0.085 &                              0.126 &                                0.0754 &                               0.0785 &                                  0.151 &                                  0.224 &                            0.0858 &                                  0.101 &                                   0.187 &                                 0.133 &                                0.0699 &                                  0.107 &                             0.113 &                                 0.083 &                                 0.0748 &                                 0.0407 &                                 0.0362 &                                   0.168 &                                 0.0572 &                                 0.0535 &                                 0.0587
       16.0859 &                                 0.0462 &                                0.00251 &                                 0.0147 &                                0.00475 &                                 0.0527 &                                 0.0711 &                                0.00254 &                                 0.0234 &                                  0.111 &                              0.0683 &                              0.126 &                                0.0535 &                               0.0721 &                                  0.132 &                                  0.211 &                            0.0773 &                                 0.0794 &                                   0.152 &                                0.0753 &                                0.0564 &                                 0.0657 &                             0.103 &                                0.0725 &                                 0.0563 &                                 0.0299 &                                  0.029 &                                   0.128 &                                 0.0419 &                                 0.0469 &                                 0.0462
       24.6289 &                                 0.0279 &                                0.00251 &                                 0.0122 &                                0.00475 &                                 0.0427 &                                 0.0669 &                                0.00254 &                                 0.0234 &                                 0.0818 &                              0.0632 &                              0.105 &                                0.0347 &                               0.0509 &                                  0.119 &                                  0.185 &                            0.0711 &                                 0.0557 &                                   0.149 &                                0.0539 &                                0.0531 &                                 0.0395 &                             0.103 &                                0.0519 &                                 0.0531 &                                 0.0246 &                                 0.0155 &                                  0.0899 &                                  0.026 &                                 0.0419 &                                 0.0338
       37.4434 &                                 0.0207 &                                0.00251 &                                 0.0061 &                                0.00475 &                                 0.0345 &                                 0.0639 &                                      0 &                                 0.0234 &                                 0.0474 &                              0.0553 &                             0.0658 &                                0.0159 &                               0.0384 &                                  0.103 &                                  0.143 &                            0.0488 &                                 0.0422 &                                   0.106 &                                0.0514 &                                 0.052 &                                 0.0279 &                             0.101 &                                0.0431 &                                 0.0485 &                                 0.0184 &                                 0.0122 &                                  0.0825 &                                 0.0195 &                                 0.0235 &                                 0.0247
        56.665 &                                 0.0164 &                                0.00251 &                                 0.0061 &                                0.00475 &                                 0.0192 &                                 0.0639 &                                      0 &                                 0.0234 &                                 0.0399 &                              0.0368 &                             0.0618 &                                0.0159 &                               0.0355 &                                 0.0902 &                                  0.104 &                            0.0488 &                                 0.0371 &                                  0.0861 &                                0.0466 &                                0.0352 &                                 0.0161 &                             0.101 &                                 0.031 &                                 0.0416 &                                 0.0184 &                                 0.0122 &                                  0.0725 &                                 0.0131 &                                 0.0131 &                                 0.0207
       85.4976 &                                 0.0107 &                                0.00251 &                                0.00301 &                                0.00475 &                                 0.0121 &                                 0.0606 &                                      0 &                                 0.0109 &                                 0.0323 &                              0.0251 &                             0.0568 &                               0.00933 &                               0.0231 &                                 0.0901 &                                 0.0878 &                            0.0422 &                                 0.0345 &                                  0.0574 &                                0.0385 &                                0.0302 &                                 0.0126 &                            0.0881 &                                0.0272 &                                 0.0364 &                                 0.0154 &                                 0.0122 &                                  0.0546 &                                 0.0075 &                                 0.0075 &                                 0.0151
       128.746 &                                 0.0075 &                                0.00251 &                                0.00301 &                                0.00475 &                                0.00461 &                                 0.0606 &                                      0 &                                 0.0109 &                                 0.0195 &                              0.0189 &                             0.0448 &                               0.00933 &                               0.0153 &                                 0.0743 &                                 0.0736 &                            0.0387 &                                 0.0285 &                                  0.0499 &                                 0.033 &                                0.0242 &                                0.00595 &                            0.0735 &                                0.0272 &                                 0.0364 &                                 0.0127 &                                 0.0122 &                                  0.0494 &                                 0.0075 &                                 0.0075 &                                 0.0075
