        infile    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_15b1_100L5000g500B625_2500    m100M4l0.1_45b1_100L5000g500B625_2500    m100M4l0.1_25b1_100L5000g500B625_2500    m100M4l0.1_55b1_100L5000g500B625_2500    m100M4l0.1_85b1_100L5000g500B625_2500    m100M4l0.1_35b1_100L5000g500B625_2500    m100M4l0.1_95b1_100L5000g500B625_2500    m100M4l0.1_65b1_100L5000g500B625_2500    m100M4l0.1_75b1_10L5000g500B62_250    m100M4l0.1_75b1_5L5000g500B31_125    m100M4l0.1_75b1_50L5000g500B312_1250    m100M4l0.1_75b1_25L5000g500B156_625    m150M4l0.1_75b1_100L5000g500B625_2500    m200M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L5000g100B625_2500    m200M4l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g50B625_2500    m100M4l0.1_75b1_100L5000g10B625_2500    m100M4l0.1_75b1_100L7500g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L500g500B625_2500    m100M4l0.1_75b1_100L2500g500B625_2500    m100M8l0.1_75b1_100L5000g500B312_1250    m100M16l0.1_75b1_100L5000g500B156_625    m100M2l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500
         tnrpm &                                      3 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      3 &                                      2 &                                   2 &                                  1 &                                     1 &                                    2 &                                      2 &                                      4 &                                 4 &                                      4 &                                       1 &                                    15 &                                    31 &                                      0 &                                 2 &                                     1 &                                      4 &                                      0 &                                      1 &                                       1 &                                      3 &                                      3 &                                      3
         anrpm &                                      3 &                                      0 &                                      0 &                                      0 &                                      0 &                                      2 &                                      0 &                                      3 &                                      2 &                                   2 &                                  1 &                                     1 &                                    2 &                                      2 &                                      4 &                                 4 &                                      4 &                                       1 &                                    15 &                                    31 &                                      0 &                                 4 &                                     2 &                                      4 &                                      1 &                                      1 &                                       1 &                                      3 &                                      3 &                                      3
   lpbstepsmax &                               3.32e+03 &                               1.17e+03 &                               5.58e+03 &                               2.42e+03 &                               5.61e+03 &                               2.39e+03 &                               3.72e+03 &                                1.4e+03 &                               4.66e+03 &                            3.56e+03 &                           3.84e+03 &                              3.54e+03 &                             3.11e+03 &                               9.52e+03 &                                1.7e+04 &                           5.1e+03 &                               3.58e+03 &                                2.02e+04 &                               3.6e+03 &                              3.29e+03 &                               3.88e+03 &                           5.1e+03 &                              3.26e+03 &                                3.2e+03 &                               5.14e+03 &                               5.13e+03 &                                2.61e+03 &                               3.32e+03 &                               3.32e+03 &                               3.32e+03
    lpbtimemax &                                   33.9 &                                    175 &                                    323 &                                    293 &                                    296 &                                   18.8 &                                    346 &                               8.39e+03 &                                   98.4 &                                37.7 &                               45.2 &                                  33.7 &                                 34.4 &                               7.08e+03 &                                    781 &                              50.7 &                                   39.7 &                                     932 &                                  52.7 &                                  52.8 &                                   42.8 &                              50.9 &                              2.41e+03 &                               3.02e+03 &                                   83.1 &                                   99.3 &                                    25.7 &                                   37.7 &                                   33.8 &                                   33.8
      lptimeav &                                   19.6 &                                   96.7 &                                    214 &                                    147 &                                    154 &                                   12.3 &                                    200 &                               1.96e+03 &                                   44.3 &                                22.7 &                               25.8 &                                  20.2 &                                 20.5 &                                    486 &                                    414 &                              37.1 &                                   21.8 &                                     506 &                                  22.7 &                                  22.8 &                                   24.9 &                              37.1 &                                   292 &                                    177 &                                     29 &                                   32.3 &                                    18.2 &                                   21.9 &                                   19.6 &                                   19.5
   cutstimemax &                               1.83e+03 &                                    257 &                                    432 &                                    162 &                               1.36e+03 &                               1.73e+03 &                                   27.4 &                                8.4e+03 &                                1.8e+03 &                            1.86e+03 &                            1.9e+03 &                              1.81e+03 &                              1.8e+03 &                               7.16e+03 &                               1.84e+03 &                          1.81e+03 &                               1.87e+03 &                                 1.9e+03 &                              1.82e+03 &                               1.9e+03 &                                    579 &                          4.59e+03 &                              2.41e+03 &                               3.02e+03 &                                    202 &                               1.86e+03 &                                1.84e+03 &                               1.85e+03 &                               1.81e+03 &                               1.84e+03
   cutstimeave &                                    114 &                                   14.7 &                                   29.4 &                                    8.1 &                                   92.4 &                                    164 &                                   1.37 &                               2.07e+03 &                                    207 &                                 263 &                                455 &                                   255 &                                  245 &                               1.17e+03 &                                    701 &                               328 &                               1.22e+03 &                                     806 &                              1.28e+03 &                              1.38e+03 &                                   55.2 &                          1.01e+03 &                                   670 &                                    587 &                                   50.2 &                                    205 &                                     375 &                                    111 &                                    111 &                                    119
       nsvcopt &                                     17 &                                     20 &                                     20 &                                     20 &                                     20 &                                     18 &                                     20 &                                     13 &                                     19 &                                  18 &                                 16 &                                    17 &                                   18 &                                     14 &                                     14 &                                15 &                                      8 &                                      12 &                                     4 &                                     5 &                                     20 &                                13 &                                    11 &                                     15 &                                     19 &                                     18 &                                      17 &                                     18 &                                     18 &                                     17
 nsvcsteps_ave &                                   2.41 &                                   2.85 &                                    7.8 &                                   2.95 &                                   4.45 &                                   1.72 &                                    4.1 &                                   1.46 &                                   1.42 &                                1.56 &                               2.44 &                                  1.24 &                                 1.89 &                                   2.71 &                                   2.36 &                               3.6 &                                   1.12 &                                    3.33 &                                     1 &                                     1 &                                    2.6 &                              1.62 &                                  3.18 &                                   1.87 &                                   2.11 &                                   1.56 &                                    2.35 &                                   2.44 &                                      3 &                                   2.24
   nactive_ave &                                  0.798 &                                      0 &                                      0 &                                      0 &                                  0.357 &                                  0.461 &                                      0 &                                  0.308 &                                   1.15 &                                1.61 &                                0.6 &                                 0.514 &                                0.875 &                                      1 &                                   1.79 &                              1.19 &                                    1.9 &                                    1.63 &                                   1.2 &                                  2.48 &                                   1.07 &                               1.5 &                                 0.652 &                                  0.551 &                                    0.8 &                                   1.01 &                                    1.07 &                                  0.836 &                                  0.837 &                                   0.83
    nactivemax &                                      3 &                                      0 &                                      0 &                                      0 &                                      4 &                                      2 &                                      0 &                                      2 &                                      6 &                                   3 &                                  9 &                                     4 &                                    3 &                                      4 &                                      6 &                                 4 &                                      7 &                                       6 &                                     7 &                                     7 &                                      4 &                                 5 &                                     3 &                                      3 &                                      3 &                                      5 &                                       4 &                                      3 &                                      3 &                                      3
  npresent_ave &                                   13.1 &                                    4.8 &                                   4.19 &                                      4 &                                   4.35 &                                   15.6 &                                      5 &                                   36.3 &                                   6.39 &                                6.06 &                               3.89 &                                    13 &                                 6.31 &                                   7.25 &                                   11.9 &                              4.45 &                                   11.5 &                                    12.8 &                                   8.6 &                                  15.5 &                                   7.01 &                              5.04 &                                  6.11 &                                   8.66 &                                   4.98 &                                   8.62 &                                    5.87 &                                   13.8 &                                     13 &                                   12.6
   npresentmax &                                     60 &                                      5 &                                      8 &                                      5 &                                     10 &                                     58 &                                      5 &                                    101 &                                     22 &                                  16 &                                 21 &                                    55 &                                   18 &                                     32 &                                     33 &                                13 &                                     52 &                                      30 &                                    48 &                                    55 &                                     29 &                                13 &                                    16 &                                     59 &                                     10 &                                     35 &                                      19 &                                     60 &                                     51 &                                     60
     ncuts_ave &                                     39 &                                   1.15 &                                    3.6 &                                    0.4 &                                   13.1 &                                   61.8 &                                   0.25 &                                   45.7 &                                   75.6 &                                42.5 &                                117 &                                  85.7 &                                 69.4 &                                    142 &                                   51.5 &                              12.9 &                                    266 &                                    40.4 &                                   376 &                                   190 &                                   16.5 &                              34.4 &                                   156 &                                    230 &                                   25.9 &                                   59.5 &                                     154 &                                   35.1 &                                   33.7 &                                   41.2
        TTbase &                                      1 &                                      1 &                                      1 &                                      1 &                                      1 &                                      1 &                                      1 &                                      1 &                                      1 &                                   1 &                                  1 &                                     1 &                                    1 &                                      1 &                                      1 &                                 1 &                                      1 &                                       1 &                                     1 &                                     1 &                                      1 &                                 1 &                                     1 &                                      1 &                                      1 &                                      1 &                                       1 &                                      1 &                                      1 &                                      1
